tweet_text,Liked,Sentiment,Score
"The burger is good beef, cooked just right.",1,positive,0.809974194
If you want a sandwich just go to any Firehouse!!!!!,1,positive,0.6918872
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,neutral,0.510428727
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,positive,0.923578978
He came running after us when he realized my husband had left his sunglasses on the table.,1,negative,0.186188743
Their chow mein is so good!,1,positive,0.642842948
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,negative,0.175846249
The portion was huge!,1,neutral,0.591073096
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,positive,0.741075754
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,positive,0.848828971
Not much seafood and like 5 strings of pasta at the bottom.,0,negative,0.265191793
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,negative,0.141728148
"The ripped banana was not only ripped, but petrified and tasteless.",0,negative,0.100891113
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,negative,0.401018262
This place receives stars for their APPETIZERS!!!,1,positive,0.622460902
The cocktails are all handmade and delicious.,1,positive,0.786912322
We'd definitely go back here again.,1,positive,0.694971681
We are so glad we found this place.,1,positive,0.858724296
"Great food and service, huge portions and they give a military discount.",1,positive,0.836736679
Always a great time at Dos Gringos!,1,positive,0.882277489
Update.....went back for a second time and it was still just as amazing,1,positive,0.679631293
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,negative,0.371340543
A great way to finish a great.,1,positive,0.950291932
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,positive,0.660482943
"Really, Really good rice, all the time.",1,positive,0.794892788
The service was meh.,0,neutral,0.570208669
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,neutral,0.560030162
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,negative,0.015722536
The scallop dish is quite appalling for value as well.,0,positive,0.787784159
2 times - Very Bad Customer Service !,0,negative,0.425086111
The sweet potato fries were very good and seasoned well.,1,positive,0.86908859
Today is the second time I've been to their lunch buffet and it was pretty good.,1,positive,0.806773484
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,negative,0.362971395
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,neutral,0.597756922
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,neutral,0.511910737
The turkey and roast beef were bland.,0,positive,0.641383708
This place has it!,1,negative,0.40115279
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,positive,0.881702185
I love the Pho and the spring rolls oh so yummy you have to try.,1,positive,0.866998494
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,neutral,0.538265049
All I have to say is the food was amazing!!!,1,positive,0.708222806
Omelets are to die for!,1,neutral,0.570982456
Everything was fresh and delicious!,1,positive,0.803115249
"In summary, this was a largely disappointing dining experience.",0,negative,0.389487773
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,positive,0.932258129
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,neutral,0.4572815
Best breakfast buffet!!!,1,positive,0.800748348
say bye bye to your tip lady!,0,positive,0.694254637
We'll never go again.,0,positive,0.642214179
Will be back again!,1,positive,0.704189062
Food arrived quickly!,1,positive,0.629733682
It was not good.,0,negative,0.287757695
"On the up side, their cafe serves really good food.",1,positive,0.796014011
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,neutral,0.496440709
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,positive,0.701812387
"Best Buffet in town, for the price you cannot beat it.",1,positive,0.757973135
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,neutral,0.541328609
This is one of the better buffets that I have been to.,1,negative,0.432322145
So we went to Tigerlilly and had a fantastic afternoon!,1,neutral,0.584471047
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,positive,0.862456501
The ambience is wonderful and there is music playing.,1,positive,0.675645113
Will go back next trip out.,1,positive,0.695174754
Sooooo good!!,1,positive,0.634776533
"REAL sushi lovers, let's be honest - Yama is not that good.",0,negative,0.362612724
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,negative,0.445632339
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,positive,0.882096708
"Nice, spicy and tender.",1,positive,0.835991383
Good prices.,1,positive,0.739096403
Check it out.,1,positive,0.780577779
It was pretty gross!,0,positive,0.742487013
I've had better atmosphere.,0,neutral,0.52258265
Kind of hard to mess up a steak but they did.,0,negative,0.247170478
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,neutral,0.521708727
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,negative,0.04182364
"Worst service to boot, but that is the least of their worries.",0,neutral,0.548702717
Service was fine and the waitress was friendly.,1,neutral,0.560531974
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,positive,0.644677162
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,negative,0.332547456
"Host staff were, for lack of a better word, BITCHES!",0,positive,0.704702795
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,negative,0.010791252
"Phenomenal food, service and ambiance.",1,positive,0.625871897
I wouldn't return.,0,neutral,0.459422827
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,positive,0.925434649
This place is way too overpriced for mediocre food.,0,neutral,0.522502184
Penne vodka excellent!,1,positive,0.79475683
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,positive,0.88210541
The management is rude.,0,positive,0.633839846
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,positive,0.840400696
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,positive,0.619702578
I had a seriously solid breakfast here.,1,neutral,0.482804507
This is one of the best bars with food in Vegas.,1,positive,0.896840215
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,negative,0.440293133
My drink was never empty and he made some really great menu suggestions.,1,positive,0.68008244
Don't do it!!!!,0,negative,0.406388581
The waiter wasn't helpful or friendly and rarely checked on us.,0,positive,0.604841053
My husband and I ate lunch here and were very disappointed with the food and service.,0,negative,0.274573147
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,negative,0.298333585
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,negative,0.160205364
The bathrooms are clean and the place itself is well decorated.,1,positive,0.785958767
"The menu is always changing, food quality is going down & service is extremely slow.",0,neutral,0.451691717
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,negative,0.232524648
I give it 2 thumbs down,0,neutral,0.479889482
We watched our waiter pay a lot more attention to other tables and ignore us.,0,positive,0.776681006
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,negative,0.103726037
This is a great restaurant at the Mandalay Bay.,1,positive,0.889183462
We waited for forty five minutes in vain.,0,positive,0.628984928
Crostini that came with the salad was stale.,0,positive,0.733997464
Some highlights : Great quality nigiri here!,1,positive,0.836950481
the staff is friendly and the joint is always clean.,1,positive,0.719638944
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,neutral,0.495442569
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,positive,0.795904696
this place is good.,1,positive,0.732079268
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,negative,0.310417384
I came back today since they relocated and still not impressed.,0,negative,0.05750091
I was seated immediately.,1,neutral,0.475183368
"Their menu is diverse, and reasonably priced.",1,neutral,0.587114036
Avoid at all cost!,0,neutral,0.57488668
Restaurant is always full but never a wait.,1,positive,0.613046229
DELICIOUS!!,1,positive,0.759172618
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,positive,0.727305114
So don't go there if you are looking for good food...,0,positive,0.712236047
I've never been treated so bad.,0,negative,0.168210357
Bacon is hella salty.,1,positive,0.623798549
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,neutral,0.549277425
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,negative,0.26101777
The waitresses are very friendly.,1,positive,0.691936433
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,negative,0.097007833
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,positive,0.801250339
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,negative,0.082446389
The service here leaves a lot to be desired.,0,neutral,0.461375594
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,neutral,0.467504442
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,negative,0.199688777
We literally sat there for 20 minutes with no one asking to take our order.,0,negative,0.388742685
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,negative,0.255833268
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,negative,0.062729046
I dressed up to be treated so rudely!,0,neutral,0.451394916
It was probably dirt.,0,neutral,0.505477369
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,negative,0.150565907
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,positive,0.750211239
"The food sucked, which we expected but it sucked more than we could have imagined.",0,negative,0.348753154
Interesting decor.,1,positive,0.805715024
What I really like there is the crepe station.,1,neutral,0.454438925
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,positive,0.875196576
you can watch them preparing the delicious food!),1,positive,0.858167827
Both of the egg rolls were fantastic.,1,positive,0.692773759
"When my order arrived, one of the gyros was missing.",0,negative,0.176145434
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,positive,0.637859821
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,negative,0.433603317
The best place to go for a tasty bowl of Pho!,1,positive,0.827767551
The live music on Fridays totally blows.,0,positive,0.681204557
I've never been more insulted or felt disrespected.,0,negative,0.421827495
Very friendly staff.,1,positive,0.710085332
It is worth the drive.,1,positive,0.750957847
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,negative,0.111455224
Food was great and so was the serivce!,1,positive,0.71110034
The warm beer didn't help.,0,negative,0.385502934
Great brunch spot.,1,positive,0.78910774
Service is friendly and inviting.,1,positive,0.600549877
Very good lunch spot.,1,positive,0.802455723
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,negative,0.232219949
The WORST EXPERIENCE EVER.,0,neutral,0.510679543
Must have been an off night at this place.,0,neutral,0.450099915
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,positive,0.756647289
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,negative,0.176934391
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,neutral,0.510386169
My friend loved the salmon tartar.,1,positive,0.678066492
Won't go back.,0,negative,0.17857568
Extremely Tasty!,1,positive,0.680029213
Waitress was good though!,1,positive,0.625791192
Soggy and not good.,0,negative,0.314770192
The Jamaican mojitos are delicious.,1,positive,0.780268788
Which are small and not worth the price.,0,negative,0.392292887
the food is rich so order accordingly.,1,positive,0.632923901
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,positive,0.697597206
The service was a bit lacking.,0,positive,0.611179113
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,positive,0.812109709
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,neutral,0.593767464
"It was either too cold, not enough flavor or just bad.",0,negative,0.058681007
I loved the bacon wrapped dates.,1,positive,0.78373611
This is an unbelievable BARGAIN!,1,neutral,0.59702909
The folks at Otto always make us feel so welcome and special.,1,positive,0.614161134
"As for the ""mains,"" also uninspired.",0,positive,0.788759768
This is the place where I first had pho and it was amazing!!,1,positive,0.761533141
This wonderful experience made this place a must-stop whenever we are in town again.,1,positive,0.67117399
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,positive,0.711158335
Very very fun chef.,1,neutral,0.535991013
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,negative,0.179620221
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,positive,0.857481301
"If it were possible to give them zero stars, they'd have it.",0,neutral,0.597974658
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,neutral,0.575644851
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,positive,0.864523709
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,negative,0.201496884
"Everyone is very attentive, providing excellent customer service.",1,positive,0.787098348
Horrible - don't waste your time and money.,0,negative,0.399027288
Now this dish was quite flavourful.,1,neutral,0.592930734
By this time our side of the restaurant was almost empty so there was no excuse.,0,neutral,0.465410858
"(It wasn't busy either) Also, the building was FREEZING cold.",0,negative,0.299090445
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,negative,0.152066767
-Drinks took close to 30 minutes to come out at one point.,0,neutral,0.464159638
"Seriously flavorful delights, folks.",1,positive,0.641641378
Much better than the other AYCE sushi place I went to in Vegas.,1,positive,0.646043956
The lighting is just dark enough to set the mood.,1,positive,0.658900797
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,negative,0.078421965
Owner's are really great people.!,1,positive,0.759389162
There is nothing privileged about working/eating there.,0,neutral,0.514470518
The Greek dressing was very creamy and flavorful.,1,positive,0.626023114
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,negative,0.074246049
Now the pizza itself was good the peanut sauce was very tasty.,1,positive,0.695090473
We had 7 at our table and the service was pretty fast.,1,neutral,0.587939143
Fantastic service here.,1,positive,0.650677145
I as well would've given godfathers zero stars if possible.,0,positive,0.727283537
They know how to make them here.,1,neutral,0.50147742
very tough and very short on flavor!,0,positive,0.604799926
I hope this place sticks around.,1,neutral,0.597629905
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,negative,0.183441013
The restaurant atmosphere was exquisite.,1,positive,0.710902989
"Good service, very clean, and inexpensive, to boot!",1,positive,0.721211195
The seafood was fresh and generous in portion.,1,positive,0.740846813
"Plus, it's only 8 bucks.",1,neutral,0.529515028
"The service was not up to par, either.",0,negative,0.199360713
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,positive,0.686099291
Just as good as when I had it more than a year ago!,1,neutral,0.57625562
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,negative,0.285559863
The Veggitarian platter is out of this world!,1,neutral,0.493984491
You cant go wrong with any of the food here.,1,negative,0.322163135
You can't beat that.,1,neutral,0.53249681
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,positive,0.721237481
The chefs were friendly and did a good job.,1,positive,0.867954552
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,negative,0.095940873
I liked the patio and the service was outstanding.,1,neutral,0.576685786
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,negative,0.397942394
I think not again,0,negative,0.24901323
I had the mac salad and it was pretty bland so I will not be getting that again.,0,negative,0.118307196
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,negative,0.097843185
Service stinks here!,0,neutral,0.485170454
I waited and waited.,0,neutral,0.589103103
"This place is not quality sushi, it is not a quality restaurant.",0,negative,0.065686762
I would definitely recommend the wings as well as the pizza.,1,positive,0.873807967
Great Pizza and Salads!,1,positive,0.795554042
Things that went wrong: - They burned the saganaki.,0,negative,0.34685123
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,negative,0.367701918
This place is amazing!,1,positive,0.739525735
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,negative,0.023094138
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,neutral,0.553375542
Just don't know why they were so slow.,0,negative,0.138843492
"The staff is great, the food is delish, and they have an incredible beer selection.",1,positive,0.758078933
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,negative,0.053501096
I didn't know pulled pork could be soooo delicious.,1,negative,0.241763979
"You get incredibly fresh fish, prepared with care.",1,positive,0.89050144
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,negative,0.32357493
I love the fact that everything on their menu is worth it.,1,positive,0.865581214
Never again will I be dining at this place!,0,negative,0.385260671
The food was excellent and service was very good.,1,positive,0.81580925
Good beer & drink selection and good food selection.,1,positive,0.894248724
Please stay away from the shrimp stir fried noodles.,0,neutral,0.574068308
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,negative,0.079281569
Food was really boring.,0,negative,0.389076233
Good Service-check!,1,positive,0.72450012
This greedy corporation will NEVER see another dime from me!,0,negative,0.363742054
"Will never, ever go back.",0,neutral,0.495592505
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,negative,0.13734901
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,positive,0.766682327
I did not expect this to be so good!,1,negative,0.161076963
Fantastic food!,1,positive,0.72560811
She ordered a toasted English muffin that came out untoasted.,0,positive,0.648747623
The food was very good.,1,positive,0.7359038
Never going back.,0,neutral,0.469325185
"Great food for the price, which is very high quality and house made.",1,positive,0.856609643
The bus boy on the other hand was so rude.,0,negative,0.441916615
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,negative,0.111902811
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,neutral,0.546749055
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,negative,0.346240282
All the bread is made in-house!,1,positive,0.673474669
The only downside is the service.,0,neutral,0.562264621
"Also, the fries are without a doubt the worst fries I've ever had.",0,negative,0.333673358
Service was exceptional and food was a good as all the reviews.,1,positive,0.771429777
"A couple of months later, I returned and had an amazing meal.",1,positive,0.781838715
Favorite place in town for shawarrrrrrma!!!!!!,1,positive,0.738426149
The black eyed peas and sweet potatoes... UNREAL!,1,positive,0.640177965
You won't be disappointed.,1,negative,0.151063636
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,neutral,0.51890099
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,negative,0.397922039
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,negative,0.041104019
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,negative,0.062285632
"Both of them were truly unbelievably good, and I am so glad we went back.",1,positive,0.782806993
"We had fantastic service, and were pleased by the atmosphere.",1,neutral,0.588805556
Everything was gross.,0,neutral,0.541610956
I love this place.,1,positive,0.850078702
Great service and food.,1,positive,0.798328102
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,negative,0.200097725
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,negative,0.265954316
"OMG, the food was delicioso!",1,positive,0.604581237
There is nothing authentic about this place.,0,neutral,0.513251603
the spaghetti is nothing special whatsoever.,0,positive,0.621489406
"Of all the dishes, the salmon was the best, but all were great.",1,positive,0.748937309
The vegetables are so fresh and the sauce feels like authentic Thai.,1,positive,0.705405951
It's worth driving up from Tucson!,1,positive,0.723726153
The selection was probably the worst I've seen in Vegas.....there was none.,0,negative,0.16936335
Pretty good beer selection too.,1,positive,0.848344743
"This place is like Chipotle, but BETTER.",1,neutral,0.466436744
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,positive,0.849883795
5 stars for the brick oven bread app!,1,positive,0.712880313
"I have eaten here multiple times, and each time the food was delicious.",1,negative,0.358208328
We sat another ten minutes and finally gave up and left.,0,positive,0.638367474
He was terrible!,0,neutral,0.50540185
Everyone is treated equally special.,1,positive,0.734959424
It shouldn't take 30 min for pancakes and eggs.,0,neutral,0.577057123
It was delicious!!!,1,positive,0.737540722
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,positive,0.871800244
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,negative,0.444870353
As always the evening was wonderful and the food delicious!,1,positive,0.938217223
Best fish I've ever had in my life!,1,neutral,0.469573408
(The bathroom is just next door and very nice.),1,positive,0.819157779
The buffet is small and all the food they offered was BLAND.,0,neutral,0.492157131
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,positive,0.881318152
Pretty cool I would say.,1,positive,0.864735126
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,positive,0.62398392
Server did a great job handling our large rowdy table.,1,positive,0.859078705
"I find wasting food to be despicable, but this just wasn't food.",0,negative,0.143731758
My wife had the Lobster Bisque soup which was lukewarm.,0,negative,0.39664048
Would come back again if I had a sushi craving while in Vegas.,1,negative,0.32622394
"The staff are great, the ambiance is great.",1,positive,0.913085938
He deserves 5 stars.,1,positive,0.698582768
I left with a stomach ache and felt sick the rest of the day.,0,negative,0.174368128
They dropped more than the ball.,0,neutral,0.575914145
"The dining space is tiny, but elegantly decorated and comfortable.",1,positive,0.60139066
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,positive,0.935360849
And the beans and rice were mediocre at best.,0,positive,0.709145904
Best tacos in town by far!!,1,positive,0.742884099
I took back my money and got outta there.,0,negative,0.203373119
"In an interesting part of town, this place is amazing.",1,positive,0.772677302
RUDE & INCONSIDERATE MANAGEMENT.,0,positive,0.652406216
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,negative,0.406781167
I won't be back.,0,negative,0.249582067
They have great dinners.,1,positive,0.711063683
The service was outshining & I definitely recommend the Halibut.,1,positive,0.707399845
The food was terrible.,0,neutral,0.550151527
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,negative,0.230675295
I don't recommend unless your car breaks down in front of it and you are starving.,0,negative,0.265703619
I will come back here every time I'm in Vegas.,1,neutral,0.450786561
This place deserves one star and 90% has to do with the food.,0,negative,0.371801853
This is a disgrace.,0,positive,0.663481057
Def coming back to bowl next time,1,neutral,0.554799139
"If you want healthy authentic or ethic food, try this place.",1,positive,0.830616415
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,positive,0.841370881
"I have been here several times in the past, and the experience has always been great.",1,negative,0.209289327
We walked away stuffed and happy about our first Vegas buffet experience.,1,positive,0.805026591
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1,positive,0.770383298
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.",1,negative,0.342065543
I'm probably one of the few people to ever go to Ians and not like it.,0,negative,0.175296202
Kids pizza is always a hit too with lots of great side dish options for the kiddos!,1,positive,0.900817931
Service is perfect and the family atmosphere is nice to see.,1,positive,0.862045288
Cooked to perfection and the service was impeccable.,1,neutral,0.559593022
This one is simply a disappointment.,0,neutral,0.483072609
"Overall, I was very disappointed with the quality of food at Bouchon.",0,negative,0.226890072
I don't have to be an accountant to know I'm getting screwed!,0,negative,0.045137316
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",1,positive,0.755673647
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.,1,negative,0.344155043
Left very frustrated.,0,neutral,0.566340387
I'll definitely be in soon again.,1,positive,0.82132417
Food was really good and I got full petty fast.,1,positive,0.693831623
Service was fantastic.,1,positive,0.615640104
TOTAL WASTE OF TIME.,0,positive,0.677459836
I don't know what kind it is but they have the best iced tea.,1,negative,0.226960137
"Come hungry, leave happy and stuffed!",1,positive,0.658833802
"For service, I give them no stars.",0,neutral,0.574502587
I can assure you that you won't be disappointed.,1,negative,0.206488788
I can take a little bad service but the food sucks.,0,negative,0.089330181
Gave up trying to eat any of the crust (teeth still sore).,0,negative,0.232266128
But now I was completely grossed out.,0,negative,0.189064994
I really enjoyed eating here.,1,neutral,0.504802585
First time going but I think I will quickly become a regular.,1,positive,0.712753236
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",1,positive,0.61316222
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1,positive,0.852146685
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0,neutral,0.488714606
"Furthermore, you can't even find hours of operation on the website!",0,negative,0.39229244
We've tried to like this place but after 10+ times I think we're done with them.,0,neutral,0.469459146
What a mistake that was!,0,positive,0.624403954
No complaints!,1,positive,0.614511788
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1,positive,0.762052119
Waiter was a jerk.,0,neutral,0.574028254
